y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
5.00000000000000000000E-1,2,2,1,6.931471805599453094172321214582E-1,3.068528194400546905827678785418E-1,4.825839417812030306990079131113E-1,4.825483139735802501169755517039E-1,4.826195709629277695120240374949E-1,2.365284194190877729333946066599E-1,2.365109571948096922098705672890E-1,2.365458823168531709129183071387E-1
5.00000000000000000000E-1,3,3,1,1.098612288668109691395245236923E+0,-9.861228866810969139524523692253E-2,9.259494497593028405462777157674E-1,9.259276117890744636921364457024E-1,9.259712867003349373613178324122E-1,5.873150139393886547150556228694E-1,5.873011624620834723233224493115E-1,5.873288647638910002838289341156E-1
5.00000000000000000000E-1,4,2,2,1.386294361119890618834464242916E+0,-3.862943611198906188344642429164E-1,3.071938828437402207094022089082E-1,3.071628030660459297373301365465E-1,3.072249644404918359363263587832E-1,1.064652868892003442086594063146E-1,1.064545154590597303760949741837E-1,1.064760589497781858333083060070E-1
5.00000000000000000000E-1,5,5,1,1.609437912434100374600759333226E+0,-6.094379124341003746007593332262E-1,2.795740979156865527033951833347E-2,2.795040922723658821698029870248E-2,2.796441169340456355105584973174E-2,2.012269559994231690636144498338E-2,2.011765685614837351303393369065E-2,2.012773530642138962409498135519E-2
5.00000000000000000000E-1,7,7,1,1.945910149055313305105352743443E+0,-9.459101490553133051053527434432E-1,2.899437528954256037989082607440E-11,2.887847315982559845357165055693E-11,2.911070145448772183946386964466E-11,2.132492532668807095533960340768E-11,2.123968105993852093982484679269E-11,2.141048146494673058632750667323E-11
1.00000000000000000000E+0,3,3,1,1.098612288668109691395245236923E+0,9.013877113318903086047547630775E-1,7.608413379837836969909283230997E-8,7.594288097986363548378517796004E-8,7.622562075149597041567341077867E-8,4.825895637604914327739661493102E-8,4.816936195910065415288054155955E-8,4.834869930085363034849721969345E-8
1.00000000000000000000E+0,4,2,2,1.386294361119890618834464242916E+0,6.137056388801093811655357570836E-1,2.604904077409451340270347694566E-2,2.604239455528375347200537215589E-2,2.605568828994149813521139073870E-2,9.027909584427333607414283733842E-3,9.025606180512302248079867551708E-3,9.030213437860866119493639030459E-3
1.00000000000000000000E+0,5,5,1,1.609437912434100374600759333226E+0,3.905620875658996253992406667738E-1,2.985502698958669021259265812519E-1,2.985195440973645218337809143001E-1,2.985809975347251931540130571970E-1,2.148852932794555256472321182583E-1,2.148631780014330593575269148748E-1,2.149074098820971917621755154146E-1
1.00000000000000000000E+0,7,7,1,1.945910149055313305105352743443E+0,5.408985094468669489464725655682E-2,9.769508408635167408889968841251E-1,9.769380312777755538461508466834E-1,9.769636488725476878481658858667E-1,7.185325954159676820919247077461E-1,7.185231741590284044872516046770E-1,7.185420155132603801154965278492E-1
1.00000000000000000000E+0,8,2,3,2.079441541679835928251696364375E+0,-7.944154167983592825169636437453E-2,9.511287362663300982050983244861E-1,9.511105526184893426192429214303E-1,9.511469186276464493793685030891E-1,2.330879223030045484568796390763E-1,2.330834661357860822250200403142E-1,2.330923781549415086398695036968E-1
